Codigo Municipio,Nombre Municipio,Codigo Departamento,Codigo pais
15380,LA CAPILLA,15,CO
15401,LA VICTORIA,15,CO
15403,LA UVITA,15,CO
15407,VILLA DE LEYVA,15,CO
15425,MACANAL,15,CO
15442,MARIPÍ,15,CO
15455,MIRAFLORES,15,CO
15464,MONGUA,15,CO
15466,MONGUÍ,15,CO
15469,MONIQUIRÁ,15,CO
15476,MOTAVITA,15,CO
15480,MUZO,15,CO
15491,NOBSA,15,CO
15494,NUEVO COLÓN,15,CO
15500,OICATÁ,15,CO
15507,OTANCHE,15,CO
15511,PACHAVITA,15,CO
15514,PÁEZ,15,CO
15516,PAIPA,15,CO
15518,PAJARITO,15,CO
15522,PANQUEBA,15,CO
15531,PAUNA,15,CO
15533,PAYA,15,CO
15537,PAZ DE RÍO,15,CO
15542,PESCA,15,CO
15550,PISBA,15,CO
15572,PUERTO BOYACÁ,15,CO
15580,QUÍPAMA,15,CO
15599,RAMIRIQUÍ,15,CO
15600,RÁQUIRA,15,CO
15621,RONDÓN,15,CO
15632,SABOYÁ,15,CO
15638,SÁCHICA,15,CO
15646,SAMACÁ,15,CO
15660,SAN EDUARDO,15,CO
15664,SAN JOSÉ DE PARE,15,CO
15667,SAN LUIS DE GACENO,15,CO
15673,SAN MATEO,15,CO
15676,SAN MIGUEL DE SEMA,15,CO
15681,SAN PABLO DE BORBUR,15,CO
15686,SANTANA,15,CO
15690,SANTA MARÍA,15,CO
15693,SANTA ROSA DE VITERBO,15,CO
15696,SANTA SOFÍA,15,CO
15720,SATIVANORTE,15,CO
15723,SATIVASUR,15,CO
15740,SIACHOQUE,15,CO
15753,SOATÁ,15,CO
15755,SOCOTÁ,15,CO
15757,SOCHA,15,CO
15759,SOGAMOSO,15,CO
15761,SOMONDOCO,15,CO
15762,SORA,15,CO
15763,SOTAQUIRÁ,15,CO
15764,SORACÁ,15,CO
15774,SUSACÓN,15,CO
15776,SUTAMARCHÁN,15,CO
15778,SUTATENZA,15,CO
15790,TASCO,15,CO
15798,TENZA,15,CO
15804,TIBANÁ,15,CO
15806,TIBASOSA,15,CO
15808,TINJACÁ,15,CO
15810,TIPACOQUE,15,CO
15814,TOCA,15,CO
15816,TOGÜÍ,15,CO
15820,TÓPAGA,15,CO
15822,TOTA,15,CO
15832,TUNUNGUÁ,15,CO
15835,TURMEQUÉ,15,CO
15837,TUTA,15,CO
15839,TUTAZÁ,15,CO
15842,ÚMBITA,15,CO
15861,VENTAQUEMADA,15,CO
15879,VIRACACHÁ,15,CO
15897,ZETAQUIRA,15,CO
17001,MANIZALES,17,CO
17013,AGUADAS,17,CO
17042,ANSERMA,17,CO
17050,ARANZAZU,17,CO
17088,BELALCÁZAR,17,CO
17174,CHINCHINÁ,17,CO
17272,FILADELFIA,17,CO
17380,LA DORADA,17,CO
17388,LA MERCED,17,CO
17433,MANZANARES,17,CO
17442,MARMATO,17,CO
17444,MARQUETALIA,17,CO
17446,MARULANDA,17,CO
17486,NEIRA,17,CO
17495,NORCASIA,17,CO
17513,PÁCORA,17,CO
17524,PALESTINA,17,CO
